Character,word,office
Andy,59501,40
Angela,19425,5
Billy Merchant,221,1
Business Partner,122,1
Captain Jack,470,1
Carroll,125,1
Creed,5722,3
Darryl,15150,6
David,4792,5
David Wallace,1419,4
Deangelo,4033,6
Dwight,104887,59
Erin,17703,5
Gabe,7202,7
Goldenface,299,1
Hank,439,1
Holly,6304,6
Jan,10971,5
Jerry,180,1
Jim,79291,37
Jo,3234,1
Kevin,18591,8
Mark,775,2
Meredith,6990,4
Michael,195296,124
Michel,56,1
Mr. Ruger,57,1
Nellie,8831,2
Night Cleaning Crew,16,1
Oscar,16694,8
Pam,60316,31
Pete,2463,2
Phil,146,1
Phyllis,10926,4
Robert,7582,3
Ryan,16230,6
Senator,305,2
Senator Lipton,259,1
Stanley,8389,4
Toby,11567,2
Voice Of Thomas Dean,29,1
Window Treatment Guy,34,2
